Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\Sadman\Downloads\crop.jpg", 1,1193.92,1318.88,1,0,1,241,10,86,23,138.739,147.776,127.398,13.7703,10.1179,6.91214, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,722.4,1319.7,1,0,1,867,17,64,24,166.977,168.446,150.04,15.8856,13.4087,10.269, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,678.75,1257.25,1,0,1,536,14,70,23,160.91,163.806,145.688,13.472,12.1184,8.70479, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2198,1248,1,0,1,229,10,50,29,190.201,186.642,173.166,8.84867,6.93878,5.48758, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1112.14,1211.02,1,0,1,747,16,76,27,146.683,153.451,128.647,15.7615,12.9254,7.72273, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1004.25,1208.75,1,0,1,581,14,74,29,151.759,158.127,132.933,14.2673,11.2943,7.38393, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,877,1194,1,0,1,356,12,76,28,155.61,161.955,139.065,9.35328,9.23348,6.43178, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2189,1168.5,1,0,1,360,11,44,32,189.228,183.942,169.539,11.89,8.85136,6.47354, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2200.66,1104.44,1,0,1,153,8,50,30,190.745,187.948,173.556,4.93332,4.58791,3.55882, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,864.595,1076.93,1,0,1,443,13,80,33,149.497,159.442,130.445,13.6161,10.7956,7.26492, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,713.85,1076.55,1,0,1,681,15,78,28,156.493,162.675,139.706,14.8655,12.7168,8.68729, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1208.7,1043.79,1,0,1,742,16,82,34,143.485,154.094,123.482,14.7699,11.681,7.14967, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2064.31,984.538,1,0,1,307,11,70,25,167.671,170.801,153.463,11.123,9.57784,6.95322, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1883.5,969,1,0,1,255,10,72,25,159.122,162.639,142.655,11.6927,9.986,7.16748, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1890.94,942.788,1,0,1,570,14,60,24,167.742,167.796,149.554,13.5502,10.6284,8.28117, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2058.25,902.75,1,0,1,440,12,60,25,173.07,173.3,154.502,11.1052,10.0449,6.73387, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1958.5,887.5,1,0,1,574,14,56,27,171.808,170.753,151.854,11.9273,10.214,7.84214, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2045.8,853.1,1,0,1,562,14,54,26,176.032,174.139,158.059,12.5713,9.88811,7.4202, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1844.5,850,1,0,1,588,15,60,29,166.636,166.849,144.379,12.2307,10.2243,6.96795, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1941.78,832.877,1,0,1,492,13,58,28,170.323,169.163,149.285,11.5987,8.70004,7.04155, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2031,827.5,1,0,1,508,13,64,27,174.134,174.87,156.228,12.1489,9.96729,7.91591, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1909,756.5,1,0,1,642,14,64,27,170.304,170.907,151.014,11.4542,9.44686,7.54351, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2027,745.5,1,0,1,499,13,52,23,176.174,173.711,159.589,11.4728,8.53249,7.76647, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1954.44,747.41,1,0,1,589,14,60,25,171.63,171.852,154.051,12.519,9.97347,7.89633, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2015.5,720,1,0,1,360,11,52,24,173.35,171.258,156.378,10.8669,8.03345,5.95777, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1290.5,693.5,1,0,1,747,16,72,32,155.661,160.861,133.586,12.2895,9.92266,6.63756, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1260.48,362.223,1,0,1,999,19,56,26,171.517,171.188,152.527,12.1786,9.94722,7.64373, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1122.5,336.5,1,0,1,951,17,60,26,172.814,172.733,153.565,11.6409,9.66178,7.41615, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,560.25,225.75,1,0,1,27,4,144,9,179.444,184.148,180.63,10.4255,10.7019,9.06064, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,903.5,205,1,0,1,962,19,34,62,210.78,199.343,183.104,13.3241,11.5618,9.77091, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,1068,197.5,1,0,1,677,17,36,72,216.77,205.328,186.827,9.99648,7.29942,5.68991, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,1877.5,90.5,0,0,1,92,6,38,31,215.196,210.761,204.239,35.8398,36.2788,35.1745, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,1394.5,81.5,0,0,1,86,6,30,10,230.035,228.93,227.558,21.7647,23.0369,22.8502, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,1010,80,0,0,1,54,5,344,9,198.907,195.389,195.556,11.6827,12.6005,13.0703, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,674,12.5,0,0,1,22,4,120,13,244.818,246.045,245.273,11.192,10.92,11.1855, "2021-08-31 [2:49:34 PM]: no comment"
