Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1484.5,92.5,0,0,2,59,5,12,59,214.966,196.356,191.492,12.3675,10.0099,11.3586, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2549,66,0,0,3,35,5,46,150,242.343,232.514,204.543,2.80385,4.7292,3.40645, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1519.5,59,0,0,2,252,11,16,73,219.96,198.631,192.06,12.9857,11.5226,9.6479, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1519.54,44.7159,0,0,2,349,12,16,87,228.235,207.129,199.92,12.4367,11.7441,10.3032, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1061.5,62,0,0,5,408,13,14,61,207.191,184.27,177.385,10.4476,9.9435,7.12784, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1075,50,0,0,5,82,7,16,65,213.72,192.988,186.305,5.39311,6.08823,5.97479, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1049.5,39.5,0,0,5,123,7,20,87,227.593,208.846,200.333,12.4883,13.9213,11.5804, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1051.5,31.5,0,0,5,114,6,36,101,241.596,235.123,224.693,4.47855,8.02894,7.91315, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1324.85,23.05,0,0,5,157,8,32,85,238.057,230.064,220.936,3.41609,7.084,5.3018, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1352,20.5,0,0,5,89,6,42,81,240.562,237.27,227.719,2.24481,2.35551,2.79255, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1313.5,19,0,0,5,50,5,32,88,239.34,231.28,221.5,2.73908,3.46609,3.32594, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2440,1938,0,0,1,29,4,38,141,239.897,225.931,203.069,4.13319,4.3211,3.80309, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,97.5,1825.5,0,0,1,108,6,24,92,222.741,201.213,186.611,7.1046,5.28402,5.75674, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1053,1825.5,0,0,1,192,9,22,84,203.385,171.495,152.49,9.85164,8.50833,7.19307, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1328,1657,0,0,1,31,4,30,33,149.484,132.677,118.226,4.63559,3.02225,3.10544, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,105.5,1588,0,0,1,208,9,32,120,219.942,190.601,158.144,15.9228,15.3087,10.5841, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1096.4,1579.8,1,0,1,500,13,30,39,150.654,132.552,113.882,14.2347,8.17686,4.2075, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,2419,1540,1,0,1,1238,22,28,62,189.014,166.106,147.164,17.9914,13.5707,6.42698, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,750.719,1482.95,1,0,1,1063,19,28,50,164.385,141.472,119.508,17.3006,11.5569,4.94884, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1667.5,1467,1,0,1,249,9,32,27,140.116,127.173,113.088,12.1069,7.45142,5.11485, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,661.5,1456,1,0,1,330,11,24,41,155.87,133.167,117.503,12.7072,8.04785,4.24294, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,2089,1389,1,0,1,1022,19,30,54,171.945,148.933,127.269,17.4774,10.9523,4.73655, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1594.5,1286,1,0,1,1179,21,38,38,148.087,133.808,109.615,17.6279,10.3847,4.1252, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1902.53,1282.88,1,0,1,924,18,32,48,163.084,143.372,119.637,16.1519,10.0996,4.45997, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1511,1270,1,0,1,664,16,38,37,142.515,130.167,107.267,14.7008,8.77841,3.63029, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1758.25,1246.25,1,0,1,870,17,36,42,153.231,137.06,113.298,15.9668,9.6445,4.3716, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1385.74,1234.8,1,0,1,1333,21,40,40,147.461,133.97,106.871,17.0223,10.1956,3.85874, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,546,1216,1,0,1,974,19,28,45,152.907,129.3,109.295,13.8766,9.0401,4.43888, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,2007.92,1202.49,1,0,1,1133,20,32,57,173.177,150.664,126.298,16.5779,10.2119,5.05404, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,896,1191.5,1,0,1,1240,21,36,49,157.831,139.717,111.694,14.7897,9.51543,3.76749, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1570.98,1107.18,1,0,1,530,14,42,37,144.806,133.879,108.298,12.622,7.50983,3.95593, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,2047.44,1100.84,1,0,1,1065,19,32,53,169.208,147.584,124.254,15.127,9.78607,4.8272, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1271.53,1061.53,1,0,1,547,14,42,40,147.08,135.093,107.463,12.0865,6.91627,3.82907, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,803,1022,1,0,1,332,11,36,36,146.955,132.898,110.846,10.1244,6.35221,3.56081, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,960.75,994.25,1,0,1,891,18,40,42,152.397,138.385,110.834,13.5102,8.56869,3.93082, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1189.1,983.2,1,0,1,844,17,40,45,152.775,139.251,108.832,13.8371,7.96154,3.85389, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,579.5,970,1,0,1,90,6,28,27,133.656,120.444,107.711,6.17936,3.65041,3.0883, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1876.5,968,1,0,1,474,13,34,42,154.597,138.158,115.825,14.0068,7.72283,3.92828, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,824.386,972.639,1,0,1,977,19,36,46,156.355,138.751,111.879,13.9192,8.54858,3.98714, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1029,901,1,0,1,966,19,40,50,157.179,141.265,109.256,13.6725,8.65726,3.51452, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1195,867,1,0,1,840,17,42,48,154.615,141.198,109.182,12.1529,7.46982,3.59513, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1139.1,855.8,1,0,1,383,12,40,44,153.251,139.334,110.543,10.924,6.39345,3.33882, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1067.47,641.586,1,0,1,155,8,48,25,138.452,132.794,113.103,6.54069,4.56089,3.46046, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1647.5,609.5,1,0,1,314,11,36,46,158.761,142.182,116.659,9.45578,6.18101,4.03826, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1272.51,614.765,1,0,1,1007,19,38,48,157.811,142.354,112.931,15.3522,9.11536,3.99922, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1729,521,1,0,1,1187,21,36,53,167.177,148.862,120.686,15.3924,9.71554,4.37114, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,692.7,484.6,1,0,1,303,11,30,47,160.644,140.3,119.337,10.5985,7.15629,3.46404, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1968,425.5,1,0,1,132,7,28,26,165.53,154.614,146.258,5.88417,4.50897,3.81398, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,1158.6,358.122,1,0,1,747,17,32,52,169.75,149.206,126.241,13.2169,8.69762,4.2743, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,2005.3,293.1,1,0,1,250,10,28,55,182.984,160.652,143.46,9.00548,6.25613,3.81148, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,701,285,1,0,1,255,10,24,50,170.659,146.478,129.627,11.5458,7.74977,4.35928, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,442,190.5,0,0,1,530,14,24,72,173.206,134.579,108.175,11.8672,7.47625,4.50597, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2061,168,0,0,1,134,7,52,155,242.694,237.836,205.664,3.25013,5.44064,4.7654, "2021-08-31 [10:52:46 AM]: no comment"
